user_id,tweet_text,creation_date,user_location,user_follower,user_friends,sentiment_analysis_polarity,sentiment_analysis_subjectivity
322986132,"RT @RWPUSA: Trump wants to avoid impeachment by making himself a wartime president.
He’s looking to start a war, and in the Middle East the…",2019-06-18 20:47:40,New York,17107,18622,0.1,0.05
19383583,RT @RandiRhodes: It's announcing it's re-election campaign tonight in #Orlando where TENS of people are lined up and the largest newspaper…,2019-06-18 20:47:40,,827,1644,0.0,0.0
1928861768,RT @matthewamiller: This should be the lead story out of Orlando no matter what Trump says tonight. https://t.co/9YWkvgdaqx,2019-06-18 20:47:40,,45,329,0.0,0.0
2362263390,"RT @RageMichelle: TRUMP SUPPORTERS ARE BOYCOTTING HARVARD

I REPEAT: TRUMP SUPPORTERS ARE BOYCOTTING HARVARD

Related news: Harvard sees no…",2019-06-18 20:47:40,"Montmorency, Victoria",1137,2123,0.0,0.4
973637106047356929,"RT @Acosta: Orlando Sentinel Editorial Board: “So many lies — from white lies to whoppers — told out of ignorance, laziness, recklessness,…",2019-06-18 20:47:40,"Manhattan, NY",26,58,0.25,0.25
83564737,"RT @piersmorgan: *NEW: Holocaust victims in concentration camps were  tortured, abused, raped, used for scientific experiments &amp; sent to ga…",2019-06-18 20:47:40,"San Francisco, CA",955,1328,0.13636363636363635,0.45454545454545453
859219800,"RT @khaliqrodriquez: The left cannot bully us 

We will continue to support president Trump no matter what they call us

Who's ready for fo…",2019-06-18 20:47:40,"Arizona, USA",7646,7280,0.1,0.25
1408301718,RT @The_Trump_Train: President Trump has directed federal agencies to remove the nearly 2 million illegal aliens who have failed to appear…,2019-06-18 20:47:40,,1078,975,-0.3,0.39999999999999997
719614735679926272,I will most certainly be voting for Donald Trump for president in 2020.,2019-06-18 20:47:40,"Punta Gorda, Florida",53,89,0.35714285714285715,0.5357142857142857
351058784,RT @libshipwreck: As people debate whether to call concentration camps concentration camps a violent xenophobic street fighting organizatio…,2019-06-18 20:47:40,"Boston,MA,USA [now in Croatia]",3029,997,-0.8,1.0
894465693755637760,"RT @AnnaBD20: Polls Wouldn't Lie , Would they? #FakeNews #MSM Never Rests.
#Polls #Biden #ChinaJoe #WalkAwayfromDemocrats 
#Trump2020Landsl…",2019-06-18 20:47:41,"Florida, USA",122493,85741,0.0,0.0
1118951513857167362,"RT @Kokomothegreat: It looks like Walmart the night before Black Friday

While Trump said last night there were 10,000 people lined up, @sa…",2019-06-18 20:47:41,"Virginia, USA",1042,2499,-0.08333333333333333,0.25
444749207,"RT @funder: It’s raining hard outside the Trump rally right now, so they posted a message telling them to take cover, so Trump staff is han…",2019-06-18 20:47:41,"Los Angeles, CA native. ",823,2257,-0.0019841269841269957,0.3757936507936508
38133178,"RT @kristirice47: What's that big, brown crusty thing in the middle of Trump's forehead? 🤮 https://t.co/hJVUB3PLCN",2019-06-18 20:47:41,everywhere but somewhere,4243,3677,0.0,0.05
23730438,"RT @waltshaub: She's right, and it's time the media started calling them concentration camps. (A year ago this weekend, I saw @AOC in perso…",2019-06-18 20:47:41,"LES, NYC/Surry Hills, Sydney",14557,1997,0.2857142857142857,0.5357142857142857
3420484815,RT @ThePlumLineGS: Trump's new threat of mass arrests and deportations is obviously intended as a set-up to today's big rally in Florida.…,2019-06-18 20:47:41,"Saint Louis, MO NYer #StrongerTogether #FactsMatter #FuckTrump #GopCorrupt #TrumpRussia #NoBernie #TrumpCrimeFamily #SpaceForce😂🤣😂",6542,7121,0.04545454545454545,0.35151515151515156
972145840319008768,"RT @KamalaHarris: Mass deportations are cruel and violate our values. As this president rips more families apart, let's remember that histo…",2019-06-18 20:47:41,hell,1767,3392,-0.25,0.75
1078786288420077568,"RT @funder: It’s raining hard outside the Trump rally right now, so they posted a message telling them to take cover, so Trump staff is han…",2019-06-18 20:47:40,"Texas, USA",680,1358,-0.0019841269841269957,0.3757936507936508
